user_id,email_creates_30d,email_publishes_30d,email_tests_30d,total_builder_events_30d
66425093,8,7,0,15
74153098,8,1,0,9
22401603,11,7,0,18
41111469,7,7,0,14
48927857,7,6,1,14
41161305,8,4,0,12
57039661,7,4,0,11
61871693,8,6,0,14
64914473,8,6,0,14
77662822,11,8,0,19
50151821,7,5,0,12
73208930,8,6,0,14
32468910,15,7,0,22
30519599,9,8,0,17
40042493,12,8,0,20
42667617,8,7,0,15
52201585,14,9,0,23
33187146,8,7,0,15
42721921,10,8,1,19
41425781,25,7,8,40
55104637,8,5,0,13
8417041,8,8,0,16
76753050,9,9,0,18
54301481,8,7,0,15
57898369,7,8,0,15
29040563,10,8,0,18
73492278,27,15,0,42
43014337,18,8,0,26
22897499,8,10,0,18
40322629,10,10,0,20
52669209,14,8,0,22
29061379,21,8,0,29
55120317,16,10,0,26
42297413,14,8,0,22
41037637,12,8,0,20
38888493,15,8,0,23
55239081,10,8,0,18
14803819,10,8,0,18
50948205,9,9,0,18
15382963,12,10,1,23
13097671,10,8,0,18
38000065,10,5,0,15
27866819,14,13,1,28
51328717,9,1,0,10
45610733,9,6,1,16
68735425,10,9,0,19
39956357,11,9,0,20
44231405,12,10,0,22
36645637,22,11,1,34
78768062,14,12,0,26
48901517,12,9,0,21
40337545,12,10,0,22
49329429,12,9,0,21
35497065,33,12,14,59
23165819,13,4,9,26
40997865,20,12,1,33
4730870,11,10,0,21
66649669,11,7,0,18
55960877,10,5,0,15
44447637,12,12,0,24
59442101,13,12,0,25
40830261,24,10,0,34
12408647,14,12,0,26
11215759,13,11,0,24
38736409,13,12,0,25
50631705,13,11,0,24
29455423,17,11,0,28
53794613,20,10,0,30
32579542,10,10,0,20
31622635,11,7,1,19
45722941,13,7,0,20
37915977,11,9,0,20
65386501,11,1,0,12
25630540,12,11,0,23
72862310,12,11,0,23
52097377,17,11,0,28
57571969,13,12,0,25
50382165,14,11,0,25
63435065,23,11,0,34
47124285,11,11,1,23
65003105,14,13,0,27
55756589,21,14,2,37
65395645,20,11,0,31
28254627,15,13,1,29
58520517,14,13,0,27
56319241,74,62,12,148
35735149,17,9,1,27
36624981,15,15,0,30
12838819,12,1,3,16
31523059,15,12,0,27
26312623,16,9,0,25
12279251,13,14,0,27
13423911,14,12,0,26
52539389,23,15,1,39
77572050,17,14,0,31
63015913,24,17,0,41
19359663,14,13,1,28
69766101,46,28,13,87
40839193,14,12,0,26
18539763,13,2,1,16
23086035,14,10,0,24
75879498,14,11,0,25
45856397,14,13,1,28
8409273,16,14,0,30
31144551,43,14,9,66
40020149,24,21,0,45
62122225,18,13,0,31
42204353,24,21,2,47
35754717,9,13,0,22
64935933,15,4,0,19
67719437,15,15,0,30
54237429,17,13,0,30
47979025,14,5,0,19
37853213,19,22,1,42
77970822,14,4,0,18
76875082,16,17,0,33
43881993,26,15,0,41
