user_id,email_creates_90d,email_publishes_90d,email_tests_90d,ca_template_creates_90d,ai_content_creates_90d,sms_creates_90d,sms_publishes_90d,automation_creates_90d,automation_publishes_90d,builder_active_days_90d,total_builder_events_90d
198464830,232,153,6,0,0,0,0,0,0,83,391
207069454,437,289,0,0,0,0,0,0,0,82,726
107695122,11,6,3,0,0,0,0,0,0,14,20
106260502,13,11,0,0,0,0,0,0,0,22,24
136347349,9,9,0,0,0,0,0,0,0,6,18
178597262,17,11,0,0,10,0,0,0,0,20,28
161046258,16,13,0,0,0,0,0,0,0,16,29
101863226,36,24,1,0,0,0,0,0,0,36,61
144044933,16,15,0,0,0,0,0,0,0,25,31
100078962,57,27,0,0,0,0,0,0,0,26,84
121878042,32,28,0,0,0,0,0,0,0,33,60
123863702,16,14,0,0,0,0,0,0,0,13,30
156758518,43,25,4,0,0,0,0,0,0,35,72
196785894,37,25,7,0,0,0,0,0,0,32,69
230637890,75,61,3,0,0,0,0,0,0,61,139
149871118,88,65,0,0,44,0,0,0,0,64,153
99117129,75,59,0,0,0,0,0,0,0,63,134
139470645,40,38,0,0,0,0,0,0,0,37,78
112106650,79,63,0,0,0,0,0,0,0,33,142
167574862,97,72,1,3,0,0,0,0,0,40,170
225322770,139,90,0,136,0,0,0,0,0,61,229
147547190,93,90,0,0,0,0,0,0,0,88,183
228913518,115,101,2,0,0,0,0,0,0,71,218
99119277,136,111,1,0,0,0,0,0,0,88,248
156329330,191,128,0,0,0,0,0,0,0,68,319
156850150,138,128,0,0,0,0,0,0,0,47,266
160202938,170,150,0,0,0,0,0,0,0,55,320
120548778,23,0,23,0,0,0,0,0,0,23,46
2145849,14,11,1,0,0,0,0,0,0,15,26
3675446,6,4,0,0,0,0,0,0,0,8,10
2791486,25,20,0,0,0,0,0,0,0,13,45
1936085,91,45,44,0,0,0,0,0,0,36,180
164193,112,96,0,0,0,0,0,0,0,56,208
1234413,95,82,0,0,0,0,0,0,0,51,177
1120289,139,134,1,0,0,0,0,0,0,84,274
208571578,4,2,0,0,0,0,0,0,0,3,6
175095673,5,4,0,0,0,0,0,0,0,5,9
233519434,19,18,0,0,0,0,0,0,0,20,37
170673921,35,32,0,0,0,0,0,0,0,51,67
192495026,291,205,32,0,0,0,0,0,0,58,528
214224410,7,6,0,0,0,0,0,0,0,13,13
209100934,19,8,0,0,1,0,0,0,0,17,27
191044698,13,10,0,0,0,0,0,0,0,20,23
243868718,16,12,0,0,0,0,0,0,0,17,28
241264230,18,17,0,0,0,0,0,0,0,22,35
164040522,26,20,0,0,0,0,0,0,0,24,46
181573222,29,25,0,0,0,0,0,0,0,30,54
201929914,36,29,0,0,0,0,0,0,0,35,65
226999070,37,31,0,36,0,0,0,0,0,39,68
210671466,41,39,3,0,0,0,0,0,0,39,83
174939153,42,41,0,0,0,0,0,0,0,42,83
245922762,53,44,0,0,0,0,0,0,0,38,97
202834374,136,103,0,0,6,0,0,0,0,66,239
203329202,313,246,1,56,12,0,0,0,0,88,560
181328498,1066,916,0,0,0,0,0,0,0,79,1982
178509762,124,102,3,0,0,0,0,0,0,43,229
216999814,4,4,0,0,0,0,0,0,0,7,8
211700474,8,7,0,0,0,0,0,0,0,14,15
243042318,13,8,0,0,0,0,0,0,0,14,21
238835870,16,11,0,0,0,0,0,0,0,15,27
